,Customer Code,Total Sales,buying_freq,Products_Eng,Category_Eng,Destenation_Eng
0,2,12284.116,1,2,1,1
1,4,39163.538546,9,30,7,1
2,5,105191.693345,16,19,6,1
3,6,5991.9400000000005,1,13,1,1
4,7,5122092.6661748,140,188,8,1
5,8,506197.06712,23,143,8,1
6,9,28471.2928,3,10,1,1
7,10,116729.045664,7,86,7,1
8,11,2923.6017,3,8,3,1
9,12,3166.599,1,3,1,1
10,14,319339.056001,11,84,7,1
11,15,104303.139,2,8,1,1
12,17,7208.01887,2,12,4,1
13,18,11028.70145,5,47,4,1
14,19,4062892.4223285,142,88,6,1
15,20,8056.7214,1,25,4,1
16,21,2913243.626647,94,100,7,1
17,22,20247.76326,3,34,3,1
18,23,562074.398725,22,50,6,1
19,24,103571.9700188,4,50,8,1
20,25,3524.67939,2,59,6,1
21,27,2710.563,1,7,1,1
22,29,2709.944622,1,15,3,1
23,31,1858.265367,1,4,2,1
24,32,41271.71686,1,34,5,1
25,33,298669.85648,10,7,3,1
26,34,11094.36354,2,7,2,1
27,35,543868.674465,26,37,7,1
28,36,3737.8739616,1,61,6,1
29,37,18833.3355,5,52,6,1
30,39,1671267.031579,45,52,5,1
31,40,231499.521955,9,60,5,1
32,41,22756.64272,1,13,3,1
33,42,494750.535106,18,45,7,1
34,43,26497.250500000002,1,4,1,1
35,44,40370.08192,1,55,4,0
36,46,74022.842212,3,50,7,0
37,47,2320.6499999999996,1,3,1,1
38,48,3783.78,1,1,1,1
39,50,8448.0,1,3,1,1
40,51,4831.08,2,11,3,1
41,52,95874.282,2,38,5,1
42,53,28421.46216,1,28,5,1
43,513,535521.751159,18,87,10,1
44,514,312245.58038,9,105,6,1
45,560,1693468.340314,75,37,6,1
46,575,11196.1465,1,9,2,1
47,589,136541.72815,9,87,5,1
48,595,8871.2562,6,14,4,1
49,596,1345.0064,1,10,1,1
50,603,2971643.2259726,113,63,9,1
51,604,106202.38577200001,7,6,1,1
52,605,205768.230557,31,85,7,1
53,606,68719.89728,10,6,1,1
54,609,136005.98083,10,60,8,2
55,612,33988.1005,3,7,3,1
